,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Health Center Service Delivery Site Location Setting Description,Health Center Location Type Description,Health Center Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
0,"DANIEL S. SNOW, M.D. HEALTH CENTER",1202 State St,Erie,PA,16501-1914,814-455-7222,www.community-healthnet.com,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-80.08118355,42.12333114
1,BHS - Crenshaw Health Center,3850 Crenshaw Blvd,Los Angeles,CA,90008-1821,323-438-9607,,All Other Clinic Types,Permanent,Service Delivery Site,-118.33484904,34.01581489
2,Lamoille Health Family Medicine - Morrisville,609 Washington Hwy,Morrisville,VT,05661-8652,802-888-5639,www.chslv.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-72.58835429,44.5540057
3,Indian River Health Center,6135 Cressy St,Indian River,MI,49749-5151,231-238-8908,www.alconahealthcenters.org,All Other Clinic Types,Permanent,Service Delivery Site,-84.61290609,45.4067673
4,PENINSULA REGIONAL MEDICAL CENTE,100 E Carroll St,Salisbury,MD,21801-5422,410-546-6400,www.tidalhealth.org,Hospital,Permanent,Service Delivery Site,-75.59820344,38.36306843
6,Spring Branch CHC - Memorial Clinic,"902 Frostwood Dr, Ste 108",Houston,TX,77024-2421,713-827-4744,www.sbchc.net,All Other Clinic Types,Permanent,Service Delivery Site,-95.54773281,29.7802002
7,"Esperanza California, Suite 101",2001 S California Ave STE 101,Chicago,IL,60608-2486,773-584-6200,www.esperanzachicago.org,All Other Clinic Types,Permanent,Service Delivery Site,-87.69551243,41.85469802
8,Lebanon Urgent Care (Behavioral and Physical Health),960 Church St,Lebanon,PA,17046-4656,717-299-6371,,All Other Clinic Types,Permanent,Service Delivery Site,-76.42806373,40.34440417
9,LSCHC Superior Clinic,2222 E 5th St BLDG,Superior,WI,54880-3709,218-336-3500,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-92.04963202,46.70418958
10,Mary C. Demientieff Health Clinic (Nenana),G St,Nenana,AK,99760,907-452-8251 x3560,www.tananachiefs.org,All Other Clinic Types,Permanent,Service Delivery Site,-149.07831369,64.56281012
14,"Athens Neighborhood Health Center, Inc.",675 College Ave,Athens,GA,30601-2635,706-546-5526,,All Other Clinic Types,Permanent,Service Delivery Site,-83.37721208,33.9629729
15,Whatley Health Services at Aliceville,432 5th St NW,Aliceville,AL,35442,205-758-6647,,All Other Clinic Types,Permanent,Service Delivery Site,-88.15637512,33.13112405
16,BeverlyCare - Pediatric Center,101 E Beverly Blvd STE 301,Montebello,CA,90640-4316,323-726-1400,www.beverlycare.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.09844777,34.01557278
